date,station,temperature,rainfall,pressure,windspeed,wind_beaufort
1987-05-01,Beijing,13.65,6,1016.0250000000001,4,Light
1987-05-02,Beijing,12.725,0.1,1017.9000000000001,4.5,Light
1987-05-03,Beijing,16.975,0,1017.9,7.5,Light
1987-05-04,Beijing,16.95,0,1016.45,8,Light
1987-05-05,Beijing,19.75,0,1012.1,3.5,Light
1987-05-06,Beijing,21.025,0,1007.0500000000001,9.5,Light
1987-05-07,Beijing,21.525,0,1009.6,5.5,Light
1987-05-08,Beijing,21.599999999999998,0,1011.5,8.5,Light
1987-05-09,Beijing,21.200000000000003,0,1015.125,4.5,Light
1987-05-10,Beijing,20.65,0,1015.0500000000001,6.5,Light
1987-05-11,Beijing,21.624999999999996,0,1010.6499999999999,5.5,Light
1987-05-12,Beijing,22.1,0,1013.925,6,Light
1987-05-13,Beijing,17.575,0,1019.025,9,Light
1987-05-14,Beijing,20.3,0,1008.225,7.5,Light
1987-05-15,Beijing,21.325,4,1002.6999999999999,6.5,Light
1987-05-16,Beijing,15.6,0,1012.125,10,Light
1987-05-17,Beijing,17.625,0,1008.35,5,Light
1987-05-18,Beijing,15.799999999999999,0,1004.575,2.5,Light
1987-05-19,Beijing,22.174999999999997,0,1012.3,6,Light
1987-05-20,Beijing,22.05,0,1009.025,4.5,Light
1987-05-21,Beijing,23.8,6,1003.7,5,Light
1987-05-22,Beijing,18.95,1,1000.675,3,Light
1987-05-23,Beijing,21.2,0,1004.975,6.5,Light
1987-05-24,Beijing,19.325,20.7,1010.4749999999999,3,Light
1987-05-25,Beijing,20.65,0,1015.0999999999999,4,Light
1987-05-26,Beijing,23.025,0,1016.7,6.5,Light
1987-05-27,Beijing,22.775,0,1016.825,4.5,Light
1987-05-28,Beijing,21.1,0,1011.275,4,Light
1987-05-29,Beijing,23.375,0,1007.75,5,Light
1987-05-30,Beijing,20.775,4,1009.125,3,Light
1987-05-31,Beijing,18.9,23.7,1008.75,3,Light
1987-06-01,Beijing,20.233333333333334,0,1006.4,3.3333333333333335,Light
1987-06-02,Beijing,21.725,0,1000.075,2,Light
1987-06-03,Beijing,24.7,0,1001.45,5,Light
1987-06-04,Beijing,27.724999999999998,0,1001.3499999999999,3.5,Light
1987-06-05,Beijing,16.05,31,1014.4,12.5,Moderate
1987-06-06,Beijing,17.875,0,1015.3000000000001,5.5,Light
1987-06-07,Beijing,23.4,0,1010.9499999999999,5,Light
1987-06-08,Beijing,24.275000000000002,0,1008.825,4,Light
1987-06-09,Beijing,24.924999999999997,0,1007.2750000000001,4.5,Light
1987-06-10,Beijing,24.65,0,1009.05,6,Light
1987-06-11,Beijing,22.8,0,1008.875,3.5,Light
1987-06-12,Beijing,25.95,0,1006.625,7,Light
1987-06-13,Beijing,24.15,0,1009.5999999999999,7.5,Light
1987-06-14,Beijing,23.025,0,1010,6.5,Light
1987-06-15,Beijing,24.975,0,1008.475,4.5,Light
1987-06-16,Beijing,24.6,0,1008.025,5,Light
1987-06-17,Beijing,24.6,9,1007.875,4,Light
1987-06-18,Beijing,20.925,14.3,1008.55,4,Light
1987-06-19,Beijing,24.85,0,1006.025,0.5,Light
1987-06-20,Beijing,26.325000000000003,0,1008.175,5.5,Light
1987-06-21,Beijing,26.125,0,1009.725,6,Light
1987-06-22,Beijing,22.299999999999997,15.7,1004.8,3.5,Light
1987-06-23,Beijing,20.6,19,1003.2249999999999,3.5,Light
1987-06-24,Beijing,23.525,0,1004.1250000000001,5,Light
1987-06-25,Beijing,23.45,0,1004.975,0.5,Light
1987-06-26,Beijing,24.1,2,1007.225,4.5,Light
1987-06-27,Beijing,23.875,0.3,1010.425,6.5,Light
1987-06-28,Beijing,22.374999999999996,1,1006.575,3.5,Light
1987-06-29,Beijing,23.225,0,1004,5,Light
1987-06-30,Beijing,22.95,0,1007.9750000000001,6,Light
1987-07-01,Beijing,23.766666666666666,0,1007.3333333333334,4,Light
1987-07-02,Beijing,22.099999999999998,0.2,1004.0666666666666,3.3333333333333335,Light
1987-07-03,Beijing,26,0,1000.575,7,Light
1987-07-04,Beijing,26.4,1,998.7750000000001,4,Light
1987-07-05,Beijing,25.75,0,1000.4,6,Light
1987-07-06,Beijing,25.675,0,1003.9749999999999,3.5,Light
1987-07-07,Beijing,26.099999999999998,0,1002.9666666666666,3.3333333333333335,Light
1987-07-08,Beijing,27.150000000000002,0.1,1004.875,3,Light
1987-07-09,Beijing,24.475,12.1,1004.975,4,Light
1987-07-10,Beijing,25.425,13.6,996.5749999999999,3,Light
1987-07-11,Beijing,29.825000000000003,0,997.9999999999999,2.5,Light
1987-07-12,Beijing,27.099999999999998,0.1,1002.1750000000001,8,Light
1987-07-13,Beijing,26.900000000000002,0.3,1006.2666666666668,6,Light
1987-07-14,Beijing,23.4,53,1007.575,4.5,Light
1987-07-15,Beijing,21.625,2.3,1006.4250000000001,4,Light
1987-07-16,Beijing,26.450000000000003,0,1002.625,4.5,Light
1987-07-17,Beijing,28.25,0,1002.9,6,Light
1987-07-18,Beijing,27.549999999999997,0,1002.2750000000001,3,Light
1987-07-19,Beijing,28.1,0,999.525,5.5,Light
1987-07-20,Beijing,23.875,22.5,999,2.5,Light
1987-07-21,Beijing,24.125,2,996.2249999999999,4,Light
1987-07-22,Beijing,27.63333333333333,0,998.9333333333333,4.666666666666667,Light
1987-07-23,Beijing,27.574999999999996,0,1003.1999999999999,6,Light
1987-07-24,Beijing,28.35,0,1003.1999999999999,6.5,Light
1987-07-25,Beijing,29.325,0,1005.0999999999999,3,Light
1987-07-26,Beijing,28.875,0,1007.9250000000001,5.5,Light
1987-07-27,Beijing,28.225,0,1007.5250000000001,3,Light
1987-07-28,Beijing,29.325000000000003,0,1004.875,2.5,Light
1987-07-29,Beijing,28.224999999999998,0,1001.075,4.5,Light
1987-07-30,Beijing,29.65,0,997.225,1.5,Light
1987-07-31,Beijing,30.75,0,997.7,5,Light
1987-08-01,Beijing,24.1,0,1001.5,3.5,Light
1987-08-02,Beijing,27.35,0.1,1002.7,2,Light
1987-08-03,Beijing,21.55,26,1005.05,6,Light
1987-08-04,Beijing,27.825,0,1003.1750000000001,3.5,Light
1987-08-05,Beijing,28.95,0,1005.175,3,Light
1987-08-06,Beijing,22.074999999999996,19,1004.2750000000001,2.5,Light
1987-08-07,Beijing,23.425,0,998.2,3,Light
1987-08-08,Beijing,25.125,0,1002.7249999999999,2.5,Light
1987-08-09,Beijing,26.5,0,1007.1500000000001,4,Light
1987-08-10,Beijing,25.975,1,1010.4,4.5,Light
1987-08-11,Beijing,25.725,0,1014.4499999999999,3.5,Light
1987-08-12,Beijing,26.375,0,1013.8499999999999,3.5,Light
1987-08-13,Beijing,22.875,62,1012.8000000000001,3,Light
1987-08-14,Beijing,19.95,31,1010.375,1.5,Light
1987-08-15,Beijing,23.3,0,1006.375,3,Light
1987-08-16,Beijing,24.225,0,1005.525,3,Light
