date,station,temperature,rainfall,sunshine,windspeed,wind_beaufort,gust,humidity,cloud,visibility,pressure,wind_direction,wind_cardinal,gust_direction,gust_cardinal
1987-05-01,Camborne,10.7,3.1,NA,NA,NA,NA,100,7,2000,1018.4250000000001,360,N,20,NNE
1987-05-02,Camborne,8.85,0.1,NA,NA,NA,NA,91,3,3200,1019.925,320,NW,330,NNW
1987-05-03,Camborne,8.1,0,NA,NA,NA,NA,77,5,3600,1028.5249999999999,350,N,350,N
1987-05-04,Camborne,8.2,0,NA,NA,NA,NA,83,5,4100,1035.6375,350,N,350,N
1987-05-05,Camborne,9.75,0,NA,NA,NA,NA,86,5,2700,1035.675,10,N,10,N
1987-05-06,Camborne,9.25,0,NA,NA,NA,NA,100,1,1000,1033.225,330,NNW,340,NNW
1987-05-07,Camborne,10.9,0,NA,NA,NA,NA,100,3,600,1030.625,350,N,350,N
1987-05-08,Camborne,10.45,NA,NA,NA,NA,NA,89,1,2400,1024.525,110,ESE,110,ESE
1987-05-09,Camborne,10.9,0,NA,NA,NA,NA,95,3,900,1016.9375000000001,360,N,NA,NA
1987-05-10,Camborne,9.9,0,NA,NA,NA,NA,79,4,4100,1018.1500000000001,10,N,10,N
1987-05-11,Camborne,8.75,6,NA,NA,NA,NA,95,7,2500,1017.2000000000002,270,W,260,W
1987-05-12,Camborne,10.2,NA,NA,NA,NA,NA,97,5,2400,1009.475,310,NW,310,NW
1987-05-13,Camborne,9.15,2.2,NA,NA,NA,NA,77,4,4600,1015.9875,340,NNW,340,NNW
1987-05-14,Camborne,10.15,NA,5.9,16,Moderate,35,95,7,3100,1007.725,290,WNW,270,W
1987-05-15,Camborne,9.55,0,12.3,13,Moderate,27,77,4,4500,1011.9125,10,N,10,N
1987-05-16,Camborne,8.65,NA,11.6,6,Light,16,92,4,3700,1015.4250000000001,290,WNW,290,WNW
1987-05-17,Camborne,9.65,NA,0,7,Light,19,93,8,2900,1013.725,300,WNW,250,WSW
1987-05-18,Camborne,10.4,0,4.1,14,Moderate,27,86,6,2300,1015.275,350,N,360,N
1987-05-19,Camborne,9.5,0,4.4,8,Light,17,96,4,1900,1024.1875,360,N,360,N
1987-05-20,Camborne,11.1,0,11.9,6,Light,15,99,3,1600,1030.9125,350,N,360,N
1987-05-21,Camborne,10.45,0,11.3,12,Moderate,26,87,4,2700,1030.2250000000001,10,N,360,N
1987-05-22,Camborne,11.1,0.3,7.8,11,Moderate,27,87,6,2600,1022.8874999999999,10,N,10,N
1987-05-23,Camborne,9.8,0,10.8,11,Moderate,27,87,4,1400,1017.9625,90,E,90,E
1987-05-24,Camborne,10.15,4.2,5.1,16,Moderate,32,94,6,1000,1013.3125000000001,90,E,90,E
1987-05-25,Camborne,12.55,1.7,10.7,13,Moderate,35,86,6,2500,1016.3125,170,S,160,SSE
